bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
LV,offwind,321.03330785465806,329.61138379671837,311.5468325918882,333.2563494999542,326.02471446353337,304.9456600680186,317.33283661407773,333.69110469859515,329.0618925653872,339.5735956385858,325.6835268044039,310.3783868839825,308.99996177420655,319.9464416015219,343.65046320022776,316.11464534050896
LV,onwind,185.43272308105122,203.5859678590447,194.6847986596612,198.63925479423546,190.09299166136128,194.9318017045316,197.0619222719977,207.16091471326945,202.406800142756,203.9463232610077,194.87611491958296,197.7451539970706,198.28326714913217,197.74211781492266,211.44139014820917,199.99120615451645
LV,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,solar,348.4760678578153,348.2952360559764,335.18169191550066,325.0850954535771,358.48826080384396,361.5854160587095,377.25004878408913,340.1572078606299,379.47990137374035,382.0212866353567,349.41339380727663,372.4678215132195,390.05681428474986,370.3281190880792,357.2773390691782,361.3538324207363
NL,OCGT,187.35311926624382,200.67124448836609,255.03397738619816,231.32678544492111,209.9767826421585,202.64301802849087,221.24379938727355,195.05685279757805,201.38563934562495,191.96002315115913,198.93360225246178,207.16531582087063,205.93026353207466,214.73199653143612,237.38180753988178,199.10836081905077
NL,offwind,263.3443279258772,286.17381072881386,258.42177949769075,259.716834434765,277.77859561273203,256.9188814060265,258.6662717432046,265.5822074250697,272.4230820314624,278.42493481533154,269.01604930243474,258.7705962909478,273.3138077849932,268.4529311488836,289.4987197069916,267.02081354648334
NL,onwind,201.3681521820495,211.8628192074625,188.3299776433987,200.56987933865412,213.24610250326776,200.3755240282557,195.656702618594,219.5078947296401,205.41458130859246,211.20249651827993,215.17240847108394,199.7790597441241,209.7077681594136,215.06049671854421,240.2476178579156,211.94990356099626
NL,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,solar,358.2456234283155,352.6267889067334,337.96077918954353,337.5133890522841,343.6110123833867,356.29589697134634,367.75513984246777,341.54752393014655,355.8717318283134,360.98322278450723,355.98176126109104,376.8588900037253,350.2317534869299,358.04598510581144,341.5331198657614,337.2520307751741
NO,OCGT,201.50811274681706,120.4826616876506,312.03952779541845,226.00602488162448,124.67644007426304,251.08827834006937,173.54440229740732,219.42274960322592,150.18620978372303,130.31074837621023,241.133308713212,231.9914741485697,211.27340286284985,255.3857833965375,168.47682482223965,231.43946357861452
NO,offwind,292.89237146134724,310.1566234680328,282.91846006470803,278.11543353533625,292.29934303565454,293.10112982488954,292.5803561864155,280.5520044711647,286.9014738933693,294.31442335566254,277.4617850665058,295.82770254822054,286.2348008474073,273.588488833115,284.81310715300543,278.02893587039574
NO,onwind,120.09179955173542,123.76848740953764,121.56131582176891,128.78597394913902,121.11215588166435,123.53827050830121,123.6767922202332,124.6720752807324,124.7983007044485,129.53724689466588,124.3515567827785,126.25413046758314,126.45781881563991,125.74078909016777,135.9574125189002,132.28041115823075
NO,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,solar,338.3192572121206,334.0650154948706,321.2683358119272,315.34949368327733,334.37353102245544,330.42913809005887,343.00985449760583,337.39121862026565,341.6471379496902,365.4261425102632,358.51056110096084,353.6776574246215,371.36729034005964,367.3433844286686,371.058869569869,356.1263825061174
